program_name,university_id,field_of_study,degree_type,degree_level,duration_semesters,ects_credits,semester_fees,minimum_gpa,language_of_instruction,language_requirements,prerequisites,application_method,uni_assist_required,recognition_weeks_before,program_url,delivery_mode,description,published,intake_season,application_start_date,application_end_date,semester_start_date,notes
Software Design International,004e52c6-5b0d-4ebe-9bd8-2a815057d4ed,Computer Science,B.Sc.,bachelor,7,210,70,,en,"English B2 (IELTS 5.5, TOEFL 72), German A1",General university entrance qualification,direct,false,10,,on_campus,Software Engineering with IT Security and Data Science focus,true,winter,02/05/2025,31/05/2025,01/10/2025,Includes mandatory work placement and Bachelor's thesis
International Management,004e52c6-5b0d-4ebe-9bd8-2a815057d4ed,Management,M.A.,master,3,90,70,2.5,en,"English B2, German A1",Bachelor's degree with minimum 2.5 grade or top 50% ranking,direct,false,10,,on_campus,Management with HR Marketing Law and Intercultural Communication,true,winter,01/04/2025,15/05/2025,01/10/2025,Can be pursued part-time
International Management,004e52c6-5b0d-4ebe-9bd8-2a815057d4ed,Management,M.A.,master,3,90,70,2.5,en,"English B2, German A1",Bachelor's degree with minimum 2.5 grade or top 50% ranking,direct,false,10,,on_campus,Management with HR Marketing Law and Intercultural Communication,true,summer,01/10/2024,30/11/2024,01/04/2025,Can be pursued part-time
MERCURI - European Master in Customer Relationship Marketing,004e52c6-5b0d-4ebe-9bd8-2a815057d4ed,Marketing,M.A.,master,4,180,1000,,en,English B2 (CEFR),Bachelor's degree with at least 180 ECTS and good academic records,direct,false,10,,on_campus,Customer Relationship Marketing Consumer Behavior Data Mining,true,winter,01/06/2025,15/08/2025,01/10/2025,Joint degree program with tuition fee of 4000 EUR total
International Renewable Energy Project Development,004e52c6-5b0d-4ebe-9bd8-2a815057d4ed,Renewable Energy,M.Eng.,master,3,,70,,en,,Bachelor's degree,direct,false,10,,on_campus,Renewable Energy Project Development Management Regulation Technology,true,summer,01/09/2024,15/11/2024,01/04/2025,1.5 years duration
Mechatronic Systems,004e52c6-5b0d-4ebe-9bd8-2a815057d4ed,Mechatronics,M.Eng.,master,4,,,en,,Bachelor's degree,direct,false,10,,on_campus,Mechatronic Systems,false,winter,,,,"Program is listed as expiring"
International Business Management,0050d04c-14b7-4020-8e67-a8af085f43a8,Business Management,B.A.,bachelor,7,,950,,en,,University entrance qualification and admission interview,direct,false,10,,on_campus,Business Management Economics Intercultural Management Digital Transformation,true,winter,01/01/2025,31/12/2025,01/10/2025,Continuous application process with optional study abroad
International Business Management,0050d04c-14b7-4020-8e67-a8af085f43a8,Business Management,B.A.,bachelor,7,,950,,en,,University entrance qualification and admission interview,direct,false,10,,on_campus,Business Management Economics Intercultural Management Digital Transformation,true,summer,01/01/2025,31/12/2025,01/04/2025,Continuous application process with optional study abroad
Computer Science,0050d04c-14b7-4020-8e67-a8af085f43a8,Computer Science,M.Sc.,master,4,120,880,,en,English B2 (CEFR),Bachelor's degree with at least 180 ECTS and minimum 60 ECTS in Computer Science,direct,false,10,,on_campus,Computer Science Cyber Security Artificial Intelligence Machine Learning,true,winter,01/01/2025,31/12/2025,01/10/2025,Applications accepted all year round
Computer Science,0050d04c-14b7-4020-8e67-a8af085f43a8,Computer Science,M.Sc.,master,4,120,880,,en,English B2 (CEFR),Bachelor's degree with at least 180 ECTS and minimum 60 ECTS in Computer Science,direct,false,10,,on_campus,Computer Science Cyber Security Artificial Intelligence Machine Learning,true,summer,01/01/2025,31/12/2025,01/04/2025,Applications accepted all year round
Biochemical Engineering,0050d04c-14b7-4020-8e67-a8af085f43a8,Biochemical Engineering,M.Eng.,master,4,120,880,,en,"English B2 (TOEFL iBT 70, IELTS 6.0)",Bachelor's degree (min. 180 ECTS) in chemistry-related subject,direct,false,10,,on_campus,Biochemical Engineering Process Optimization Pharmaceuticals Chemical Industries,true,winter,01/01/2025,31/12/2025,01/10/2025,Applications accepted all year round
Biochemical Engineering,0050d04c-14b7-4020-8e67-a8af085f43a8,Biochemical Engineering,M.Eng.,master,4,120,880,,en,"English B2 (TOEFL iBT 70, IELTS 6.0)",Bachelor's degree (min. 180 ECTS) in chemistry-related subject,direct,false,10,,on_campus,Biochemical Engineering Process Optimization Pharmaceuticals Chemical Industries,true,summer,01/01/2025,31/12/2025,01/04/2025,Applications accepted all year round
